Input Number, Run_Number, Result@ 100, Y, X2
INVAR-1, Run: 001, E, 81, 0
INVAR-1, Run: 002, E, 97, 0
INVAR-1, Run: 003, E, 76, 0
INVAR-1, Run: 004, E, 71, 0
INVAR-1, Run: 005, E, 76, 0
INVAR-1, Run: 006, E, 88, 0
INVAR-1, Run: 007, E, 86, 0
INVAR-1, Run: 008, E, 68, 0
INVAR-1, Run: 009, E, 77, 0
INVAR-1, Run: 010, E, 79, 0
INVAR-1, Run: 011, E, 82, 0
INVAR-1, Run: 012, E, 54, 0
INVAR-1, Run: 013, E, 72, 0
INVAR-1, Run: 014, E, 88, 0
INVAR-1, Run: 015, E, 71, 0
INVAR-1, Run: 016, E, 83, 0
INVAR-1, Run: 017, E, 73, 0
INVAR-1, Run: 018, E, 86, 0
INVAR-1, Run: 019, E, 72, 0
INVAR-1, Run: 020, E, 81, 0
INVAR-1, Run: 021, E, 67, 0
INVAR-1, Run: 022, E, 71, 0
INVAR-1, Run: 023, E, 74, 0
INVAR-1, Run: 024, E, 81, 0
INVAR-1, Run: 025, E, 87, 0
INVAR-1, Run: 026, E, 77, 0
INVAR-1, Run: 027, E, 70, 0
INVAR-1, Run: 028, E, 81, 0
INVAR-1, Run: 029, E, 62, 0
INVAR-1, Run: 030, E, 69, 0
INVAR-1, Run: 031, E, 81, 0
INVAR-1, Run: 032, E, 77, 0
INVAR-1, Run: 033, E, 84, 0
INVAR-1, Run: 034, E, 97, 0
INVAR-1, Run: 035, E, 77, 0
INVAR-1, Run: 036, E, 72, 0
INVAR-1, Run: 037, E, 65, 0
INVAR-1, Run: 038, E, 91, 0
INVAR-1, Run: 039, E, 81, 0
INVAR-1, Run: 040, E, 69, 0
INVAR-1, Run: 041, E, 74, 0
INVAR-1, Run: 042, E, 59, 0
INVAR-1, Run: 043, E, 78, 0
INVAR-1, Run: 044, E, 84, 0
INVAR-1, Run: 045, E, 86, 0
INVAR-1, Run: 046, E, 92, 0
INVAR-1, Run: 047, E, 68, 0
INVAR-1, Run: 048, E, 63, 0
INVAR-1, Run: 049, E, 78, 0
INVAR-1, Run: 050, E, 83, 0
INVAR-1, Run: 051, E, 73, 0
INVAR-1, Run: 052, E, 70, 0
INVAR-1, Run: 053, E, 65, 0
INVAR-1, Run: 054, E, 65, 0
INVAR-1, Run: 055, E, 89, 0
INVAR-1, Run: 056, E, 62, 0
INVAR-1, Run: 057, E, 75, 0
INVAR-1, Run: 058, E, 69, 0
INVAR-1, Run: 059, E, 72, 0
INVAR-1, Run: 060, E, 80, 0
INVAR-1, Run: 061, E, 71, 0
INVAR-1, Run: 062, E, 79, 0
INVAR-1, Run: 063, E, 77, 0
INVAR-1, Run: 064, E, 96, 0
INVAR-1, Run: 065, E, 71, 0
INVAR-1, Run: 066, E, 67, 0
INVAR-1, Run: 067, E, 76, 0
INVAR-1, Run: 068, E, 69, 0
INVAR-1, Run: 069, E, 75, 0
INVAR-1, Run: 070, E, 77, 0
INVAR-1, Run: 071, E, 68, 0
INVAR-1, Run: 072, E, 68, 0
INVAR-1, Run: 073, E, 90, 0
INVAR-1, Run: 074, E, 65, 0
INVAR-1, Run: 075, E, 55, 0
INVAR-1, Run: 076, E, 68, 0
INVAR-1, Run: 077, E, 60, 0
INVAR-1, Run: 078, E, 77, 0
INVAR-1, Run: 079, E, 75, 0
INVAR-1, Run: 080, E, 83, 0
INVAR-1, Run: 081, E, 88, 0
INVAR-1, Run: 082, E, 83, 0
INVAR-1, Run: 083, E, 70, 0
INVAR-1, Run: 084, E, 72, 0
INVAR-1, Run: 085, E, 60, 0
INVAR-1, Run: 086, E, 72, 0
INVAR-1, Run: 087, E, 61, 0
INVAR-1, Run: 088, E, 78, 0
INVAR-1, Run: 089, E, 45, 0
INVAR-1, Run: 090, E, 86, 0
INVAR-1, Run: 091, E, 68, 0
INVAR-1, Run: 092, E, 68, 0
INVAR-1, Run: 093, E, 86, 0
INVAR-1, Run: 094, E, 70, 0
INVAR-1, Run: 095, E, 80, 0
INVAR-1, Run: 096, E, 87, 0
INVAR-1, Run: 097, E, 67, 0
INVAR-1, Run: 098, E, 80, 0
INVAR-1, Run: 099, E, 90, 0
INVAR-1, Run: 100, E, 78, 0
INVAR-10, Run: 001, E, 68, 0
INVAR-10, Run: 002, E, 55, 0
INVAR-10, Run: 003, E, 41, 0
INVAR-10, Run: 004, E, 46, 0
INVAR-10, Run: 005, E, 58, 0
INVAR-10, Run: 006, E, 47, 0
INVAR-10, Run: 007, E, 63, 0
INVAR-10, Run: 008, E, 69, 0
INVAR-10, Run: 009, E, 58, 0
INVAR-10, Run: 010, E, 42, 0
INVAR-10, Run: 011, E, 48, 0
INVAR-10, Run: 012, E, 58, 0
INVAR-10, Run: 013, E, 52, 0
INVAR-10, Run: 014, E, 69, 0
INVAR-10, Run: 015, E, 64, 0
INVAR-10, Run: 016, E, 78, 0
INVAR-10, Run: 017, E, 47, 0
INVAR-10, Run: 018, E, 55, 0
INVAR-10, Run: 019, E, 72, 0
INVAR-10, Run: 020, E, 53, 0
INVAR-10, Run: 021, E, 53, 0
INVAR-10, Run: 022, E, 61, 0
INVAR-10, Run: 023, E, 51, 0
INVAR-10, Run: 024, E, 47, 0
INVAR-10, Run: 025, E, 66, 0
INVAR-10, Run: 026, E, 57, 0
INVAR-10, Run: 027, E, 53, 0
INVAR-10, Run: 028, E, 65, 0
INVAR-10, Run: 029, E, 52, 0
INVAR-10, Run: 030, E, 66, 0
INVAR-10, Run: 031, E, 42, 0
INVAR-10, Run: 032, E, 59, 0
INVAR-10, Run: 033, E, 79, 0
INVAR-10, Run: 034, E, 50, 0
INVAR-10, Run: 035, E, 71, 0
INVAR-10, Run: 036, E, 54, 0
INVAR-10, Run: 037, E, 64, 0
INVAR-10, Run: 038, E, 43, 0
INVAR-10, Run: 039, E, 67, 0
INVAR-10, Run: 040, E, 58, 0
INVAR-10, Run: 041, E, 69, 0
INVAR-10, Run: 042, E, 76, 0
INVAR-10, Run: 043, E, 33, 0
INVAR-10, Run: 044, E, 56, 0
INVAR-10, Run: 045, E, 64, 0
INVAR-10, Run: 046, E, 82, 0
INVAR-10, Run: 047, E, 51, 0
INVAR-10, Run: 048, E, 61, 0
INVAR-10, Run: 049, E, 55, 0
INVAR-10, Run: 050, E, 87, 0
INVAR-10, Run: 051, E, 73, 0
INVAR-10, Run: 052, E, 49, 0
INVAR-10, Run: 053, E, 43, 0
INVAR-10, Run: 054, E, 57, 0
