Input Number, Run_Number, Result@ 100, X1, Y, X2
INVAR-1, Run: 001, P, 38, 3794, 0
INVAR-1, Run: 002, P, 38, 3882, 0
INVAR-1, Run: 003, P, 38, 3889, 0
INVAR-1, Run: 004, P, 38, 3711, 0
INVAR-1, Run: 005, P, 38, 3790, 0
INVAR-1, Run: 006, P, 38, 3740, 0
INVAR-1, Run: 007, P, 38, 3795, 0
INVAR-1, Run: 008, P, 38, 3776, 0
INVAR-1, Run: 009, P, 38, 3752, 0
INVAR-1, Run: 010, P, 38, 3725, 0
INVAR-1, Run: 011, P, 38, 3807, 0
INVAR-1, Run: 012, P, 38, 3790, 0
INVAR-1, Run: 013, P, 38, 3819, 0
INVAR-1, Run: 014, P, 38, 3869, 0
INVAR-1, Run: 015, P, 38, 3806, 0
INVAR-1, Run: 016, P, 38, 3835, 0
INVAR-1, Run: 017, P, 38, 3751, 0
INVAR-1, Run: 018, P, 38, 3837, 0
INVAR-1, Run: 019, P, 38, 3878, 0
INVAR-1, Run: 020, P, 38, 3756, 0
INVAR-1, Run: 021, P, 38, 3797, 0
INVAR-1, Run: 022, P, 38, 3649, 0
INVAR-1, Run: 023, P, 38, 3841, 0
INVAR-1, Run: 024, P, 38, 3768, 0
INVAR-1, Run: 025, P, 38, 3805, 0
INVAR-1, Run: 026, P, 38, 3820, 0
INVAR-1, Run: 027, P, 38, 3818, 0
INVAR-1, Run: 028, P, 38, 3755, 0
INVAR-1, Run: 029, P, 38, 3885, 0
INVAR-1, Run: 030, P, 38, 3774, 0
INVAR-1, Run: 031, P, 38, 3647, 0
INVAR-1, Run: 032, P, 38, 3698, 0
INVAR-1, Run: 033, P, 38, 3774, 0
INVAR-1, Run: 034, P, 38, 3788, 0
INVAR-1, Run: 035, P, 38, 3919, 0
INVAR-1, Run: 036, P, 38, 3714, 0
INVAR-1, Run: 037, P, 38, 3926, 0
INVAR-1, Run: 038, P, 38, 3778, 0
INVAR-1, Run: 039, P, 38, 3802, 0
INVAR-1, Run: 040, P, 38, 3809, 0
INVAR-1, Run: 041, P, 38, 3714, 0
INVAR-1, Run: 042, P, 38, 3756, 0
INVAR-1, Run: 043, P, 38, 3820, 0
INVAR-1, Run: 044, P, 38, 3753, 0
INVAR-1, Run: 045, P, 38, 3852, 0
INVAR-1, Run: 046, P, 38, 3713, 0
INVAR-1, Run: 047, P, 38, 3834, 0
INVAR-1, Run: 048, P, 38, 3833, 0
INVAR-1, Run: 049, P, 38, 3723, 0
INVAR-1, Run: 050, P, 38, 3772, 0
INVAR-1, Run: 051, P, 38, 3899, 0
INVAR-1, Run: 052, P, 38, 3971, 0
INVAR-1, Run: 053, P, 38, 3708, 0
INVAR-1, Run: 054, P, 38, 3738, 0
INVAR-1, Run: 055, P, 38, 3730, 0
INVAR-1, Run: 056, P, 38, 3702, 0
INVAR-1, Run: 057, P, 38, 3745, 0
INVAR-1, Run: 058, P, 38, 3822, 0
INVAR-1, Run: 059, P, 38, 3833, 0
INVAR-1, Run: 060, P, 38, 3800, 0
INVAR-1, Run: 061, P, 38, 3738, 0
INVAR-1, Run: 062, P, 38, 3780, 0
INVAR-1, Run: 063, P, 38, 3833, 0
INVAR-1, Run: 064, P, 38, 3747, 0
INVAR-1, Run: 065, P, 38, 3766, 0
INVAR-1, Run: 066, P, 38, 3781, 0
INVAR-1, Run: 067, P, 38, 3697, 0
INVAR-1, Run: 068, P, 38, 3789, 0
INVAR-1, Run: 069, P, 38, 3732, 0
INVAR-1, Run: 070, P, 38, 3774, 0
INVAR-1, Run: 071, P, 38, 3863, 0
INVAR-1, Run: 072, P, 38, 3728, 0
INVAR-1, Run: 073, P, 38, 3729, 0
INVAR-1, Run: 074, P, 38, 3790, 0
INVAR-1, Run: 075, P, 38, 3742, 0
