Input Number, Run_Number, Result@ 100, X2, Y
In01, Run: 001, E, 38, 0
In01, Run: 002, E, 38, 0
In01, Run: 003, E, 38, 0
In01, Run: 004, E, 38, 0
In01, Run: 005, E, 38, 0
In01, Run: 006, E, 38, 0
In01, Run: 007, E, 38, 0
In01, Run: 008, E, 38, 0
In01, Run: 009, E, 38, 0
In01, Run: 010, E, 38, 0
In01, Run: 011, E, 38, 0
In01, Run: 012, E, 38, 0
In01, Run: 013, E, 38, 0
In01, Run: 014, E, 38, 0
In01, Run: 015, E, 38, 0
In01, Run: 016, E, 38, 0
In01, Run: 017, E, 38, 0
In01, Run: 018, E, 38, 0
In01, Run: 019, E, 38, 0
In01, Run: 020, E, 38, 0
In01, Run: 021, E, 38, 0
In01, Run: 022, E, 38, 0
In01, Run: 023, E, 38, 0
In01, Run: 024, E, 38, 0
In01, Run: 025, E, 38, 0
In01, Run: 026, E, 38, 0
In01, Run: 027, E, 38, 0
In01, Run: 028, E, 38, 0
In01, Run: 029, E, 38, 0
In01, Run: 030, E, 38, 0
In01, Run: 031, E, 38, 0
In01, Run: 032, E, 38, 0
In01, Run: 033, E, 38, 0
In01, Run: 034, E, 38, 0
In01, Run: 035, E, 38, 0
In01, Run: 036, E, 38, 0
In01, Run: 037, E, 38, 0
In01, Run: 038, E, 38, 0
In01, Run: 039, E, 38, 0
In01, Run: 040, E, 38, 0
In01, Run: 041, E, 38, 0
In01, Run: 042, E, 38, 0
In01, Run: 043, E, 38, 0
In01, Run: 044, E, 38, 0
In01, Run: 045, E, 38, 0
In01, Run: 046, E, 38, 0
In01, Run: 047, E, 38, 0
In01, Run: 048, E, 38, 0
In01, Run: 049, E, 38, 0
In01, Run: 050, E, 38, 0
In01, Run: 051, E, 38, 0
In01, Run: 052, E, 38, 0
In01, Run: 053, E, 38, 0
In01, Run: 054, E, 38, 0
In01, Run: 055, E, 38, 0
In01, Run: 056, E, 38, 0
In01, Run: 057, E, 38, 0
In01, Run: 058, E, 38, 0
In01, Run: 059, E, 38, 0
In01, Run: 060, E, 38, 0
In01, Run: 061, E, 38, 0
In01, Run: 062, E, 38, 0
In01, Run: 063, E, 38, 0
In01, Run: 064, E, 38, 0
In01, Run: 065, E, 38, 0
In01, Run: 066, E, 38, 0
In01, Run: 067, E, 38, 0
In01, Run: 068, E, 38, 0
In01, Run: 069, E, 38, 0
In01, Run: 070, E, 38, 0
In01, Run: 071, E, 38, 0
In01, Run: 072, E, 38, 0
In01, Run: 073, E, 38, 0
In01, Run: 074, E, 38, 0
In01, Run: 075, E, 38, 0
In01, Run: 076, E, 38, 0
In01, Run: 077, E, 38, 0
In01, Run: 078, E, 38, 0
In01, Run: 079, E, 38, 0
In01, Run: 080, E, 38, 0
In01, Run: 081, E, 38, 0
In01, Run: 082, E, 38, 0
In01, Run: 083, E, 38, 0
In01, Run: 084, E, 38, 0
In01, Run: 085, E, 38, 0
In01, Run: 086, E, 38, 0
In01, Run: 087, E, 38, 0
In01, Run: 088, E, 38, 0
In01, Run: 089, E, 38, 0
In01, Run: 090, E, 38, 0
In01, Run: 091, E, 38, 0
In01, Run: 092, E, 38, 0
In01, Run: 093, E, 38, 0
In01, Run: 094, E, 38, 0
In01, Run: 095, E, 38, 0
In01, Run: 096, E, 38, 0
In01, Run: 097, E, 38, 0
In01, Run: 098, E, 38, 0
In01, Run: 099, E, 38, 0
In01, Run: 100, E, 38, 0
In02, Run: 001, E, 68, 0
In02, Run: 002, E, 68, 0
In02, Run: 003, E, 68, 0
In02, Run: 004, E, 68, 0
In02, Run: 005, E, 68, 0
In02, Run: 006, E, 68, 0
In02, Run: 007, E, 68, 0
In02, Run: 008, E, 68, 0
In02, Run: 009, E, 68, 0
In02, Run: 010, E, 68, 0
In02, Run: 011, E, 68, 0
In02, Run: 012, E, 68, 0
In02, Run: 013, E, 68, 0
In02, Run: 014, E, 68, 0
In02, Run: 015, E, 68, 0
In02, Run: 016, E, 68, 0
In02, Run: 017, E, 68, 0
In02, Run: 018, E, 68, 0
In02, Run: 019, E, 68, 0
In02, Run: 020, E, 68, 0
In02, Run: 021, E, 68, 0
In02, Run: 022, E, 68, 0
In02, Run: 023, E, 68, 0
In02, Run: 024, E, 68, 0
In02, Run: 025, E, 68, 0
In02, Run: 026, E, 68, 0
In02, Run: 027, E, 68, 0
In02, Run: 028, E, 68, 0
In02, Run: 029, E, 68, 0
In02, Run: 030, E, 68, 0
In02, Run: 031, E, 68, 0
In02, Run: 032, E, 68, 0
In02, Run: 033, E, 68, 0
In02, Run: 034, E, 68, 0
In02, Run: 035, E, 68, 0
In02, Run: 036, E, 68, 0
In02, Run: 037, E, 68, 0
In02, Run: 038, E, 68, 0
In02, Run: 039, E, 68, 0
In02, Run: 040, E, 68, 0
In02, Run: 041, E, 68, 0
In02, Run: 042, E, 68, 0
In02, Run: 043, E, 68, 0
In02, Run: 044, E, 68, 0
In02, Run: 045, E, 68, 0
In02, Run: 046, E, 68, 0
In02, Run: 047, E, 68, 0
In02, Run: 048, E, 68, 0
In02, Run: 049, E, 68, 0
In02, Run: 050, E, 68, 0
In02, Run: 051, E, 68, 0
In02, Run: 052, E, 68, 0
In02, Run: 053, E, 68, 0
In02, Run: 054, E, 68, 0
In02, Run: 055, E, 68, 0
In02, Run: 056, E, 68, 0
In02, Run: 057, E, 68, 0
In02, Run: 058, E, 68, 0
In02, Run: 059, E, 68, 0
In02, Run: 060, E, 68, 0
In02, Run: 061, E, 68, 0
In02, Run: 062, E, 68, 0
In02, Run: 063, E, 68, 0
In02, Run: 064, E, 68, 0
In02, Run: 065, E, 68, 0
