Input Number, Run_Number, Result@ 100, Y, X2
In01, Run: 001, E, 49, 0
In01, Run: 002, E, 82, 0
In01, Run: 003, E, 74, 0
In01, Run: 004, E, 62, 0
In01, Run: 005, E, 64, 0
In01, Run: 006, E, 41, 0
In01, Run: 007, E, 83, 0
In01, Run: 008, E, 57, 0
In01, Run: 009, E, 55, 0
In01, Run: 010, E, 68, 0
In01, Run: 011, E, 41, 0
In01, Run: 012, E, 47, 0
In01, Run: 013, E, 88, 0
In01, Run: 014, E, 65, 0
In01, Run: 015, E, 49, 0
In01, Run: 016, E, 69, 0
In01, Run: 017, E, 60, 0
In01, Run: 018, E, 53, 0
In01, Run: 019, E, 53, 0
In01, Run: 020, E, 65, 0
In01, Run: 021, E, 52, 0
In01, Run: 022, E, 71, 0
In01, Run: 023, E, 81, 0
In01, Run: 024, E, 86, 0
In01, Run: 025, E, 64, 0
In01, Run: 026, E, 58, 0
In01, Run: 027, E, 52, 0
In01, Run: 028, E, 69, 0
In01, Run: 029, E, 55, 0
In01, Run: 030, E, 69, 0
In01, Run: 031, E, 48, 0
In01, Run: 032, E, 74, 0
In01, Run: 033, E, 57, 0
In01, Run: 034, E, 65, 0
In01, Run: 035, E, 88, 0
In01, Run: 036, E, 50, 0
In01, Run: 037, E, 73, 0
In01, Run: 038, E, 84, 0
In01, Run: 039, E, 46, 0
In01, Run: 040, E, 68, 0
In01, Run: 041, E, 72, 0
In01, Run: 042, E, 51, 0
In01, Run: 043, E, 51, 0
In01, Run: 044, E, 60, 0
In01, Run: 045, E, 83, 0
In01, Run: 046, E, 50, 0
In01, Run: 047, E, 72, 0
In01, Run: 048, E, 67, 0
In01, Run: 049, E, 64, 0
In01, Run: 050, E, 50, 0
In01, Run: 051, E, 51, 0
In01, Run: 052, E, 77, 0
In01, Run: 053, E, 45, 0
In01, Run: 054, E, 79, 0
In01, Run: 055, E, 41, 0
In01, Run: 056, E, 85, 0
In01, Run: 057, E, 62, 0
In01, Run: 058, E, 62, 0
In01, Run: 059, E, 61, 0
In01, Run: 060, E, 58, 0
In01, Run: 061, E, 72, 0
In01, Run: 062, E, 70, 0
In01, Run: 063, E, 56, 0
In01, Run: 064, E, 59, 0
In01, Run: 065, E, 57, 0
In01, Run: 066, E, 58, 0
In01, Run: 067, E, 46, 0
In01, Run: 068, E, 54, 0
In01, Run: 069, E, 62, 0
In01, Run: 070, E, 44, 0
In01, Run: 071, E, 55, 0
In01, Run: 072, E, 58, 0
In01, Run: 073, E, 67, 0
In01, Run: 074, E, 59, 0
In01, Run: 075, E, 70, 0
In01, Run: 076, E, 56, 0
In01, Run: 077, E, 58, 0
In01, Run: 078, E, 60, 0
In01, Run: 079, E, 57, 0
In01, Run: 080, E, 59, 0
In01, Run: 081, E, 61, 0
In01, Run: 082, E, 71, 0
In01, Run: 083, E, 59, 0
In01, Run: 084, E, 66, 0
In01, Run: 085, E, 65, 0
In01, Run: 086, E, 59, 0
In01, Run: 087, E, 57, 0
In01, Run: 088, E, 55, 0
In01, Run: 089, E, 45, 0
In01, Run: 090, E, 61, 0
In01, Run: 091, E, 72, 0
In01, Run: 092, E, 61, 0
In01, Run: 093, E, 57, 0
In01, Run: 094, E, 67, 0
In01, Run: 095, E, 72, 0
In01, Run: 096, E, 74, 0
In01, Run: 097, E, 53, 0
In01, Run: 098, E, 63, 0
In01, Run: 099, E, 61, 0
In01, Run: 100, E, 68, 0
In02, Run: 001, E, 11, 0
In02, Run: 002, E, 32, 0
In02, Run: 003, E, 29, 0
In02, Run: 004, E, 15, 0
In02, Run: 005, E, 36, 0
In02, Run: 006, E, 36, 0
In02, Run: 007, E, 46, 0
In02, Run: 008, E, 44, 0
In02, Run: 009, E, 29, 0
In02, Run: 010, E, 18, 0
In02, Run: 011, E, 22, 0
In02, Run: 012, E, 40, 0
In02, Run: 013, E, 48, 0
In02, Run: 014, E, 40, 0
In02, Run: 015, E, 14, 0
In02, Run: 016, E, 24, 0
In02, Run: 017, E, 32, 0
In02, Run: 018, E, 22, 0
In02, Run: 019, E, 40, 0
In02, Run: 020, E, 24, 0
In02, Run: 021, E, 36, 0
In02, Run: 022, E, 36, 0
In02, Run: 023, E, 43, 0
In02, Run: 024, E, 26, 0
In02, Run: 025, E, 29, 0
In02, Run: 026, E, 41, 0
In02, Run: 027, E, 41, 0
In02, Run: 028, E, 32, 0
In02, Run: 029, E, 34, 0
In02, Run: 030, E, 36, 0
In02, Run: 031, E, 36, 0
In02, Run: 032, E, 48, 0
In02, Run: 033, E, 24, 0
In02, Run: 034, E, 33, 0
In02, Run: 035, E, 46, 0
In02, Run: 036, E, 25, 0
In02, Run: 037, E, 53, 0
In02, Run: 038, E, 16, 0
In02, Run: 039, E, 15, 0
In02, Run: 040, E, 21, 0
In02, Run: 041, E, 50, 0
In02, Run: 042, E, 18, 0
In02, Run: 043, E, 21, 0
In02, Run: 044, E, 43, 0
In02, Run: 045, E, 40, 0
In02, Run: 046, E, 26, 0
In02, Run: 047, E, 46, 0
In02, Run: 048, E, 32, 0
In02, Run: 049, E, 32, 0
In02, Run: 050, E, 23, 0
In02, Run: 051, E, 50, 0
In02, Run: 052, E, 32, 0
In02, Run: 053, E, 22, 0
In02, Run: 054, E, 17, 0
In02, Run: 055, E, 45, 0
In02, Run: 056, E, 47, 0
In02, Run: 057, E, 33, 0
In02, Run: 058, E, 37, 0
In02, Run: 059, E, 37, 0
In02, Run: 060, E, 40, 0
In02, Run: 061, E, 16, 0
In02, Run: 062, E, 17, 0
In02, Run: 063, E, 45, 0
In02, Run: 064, E, 30, 0
In02, Run: 065, E, 36, 0
In02, Run: 066, E, 25, 0
In02, Run: 067, E, 47, 0
In02, Run: 068, E, 31, 0
In02, Run: 069, E, 29, 0
In02, Run: 070, E, 42, 0
